YearC,Lat,Lon,Eff1Type,SumOfEff1
2009,25,0,NO.HOOKS,842352
2009,25,5,NO.HOOKS,1201154
2009,25,10,NO.HOOKS,574114
2009,26,5,NO.HOOKS,6000
2009,26,6,NO.HOOKS,1200
2009,27,11,NO.HOOKS,2900
2009,28,11,NO.HOOKS,1500
2009,29,11,NO.HOOKS,1200
2009,30,0,NO.HOOKS,463969
2009,30,5,NO.HOOKS,702950
2009,30,10,NO.HOOKS,563972
2009,30,11,NO.HOOKS,4200
2009,30,12,NO.HOOKS,13120
2009,30,13,NO.HOOKS,25719
2009,30,14,NO.HOOKS,67815
2009,30,15,NO.HOOKS,43230
2009,30,16,NO.HOOKS,2800
2009,31,11,NO.HOOKS,2800
2009,31,12,NO.HOOKS,4200
2009,31,13,NO.HOOKS,12100
2009,31,14,NO.HOOKS,33180
2009,31,15,NO.HOOKS,23150
2009,31,16,NO.HOOKS,4200
2009,32,13,NO.HOOKS,7000
2009,32,14,NO.HOOKS,17250
2009,32,15,NO.HOOKS,33180
2009,32,16,NO.HOOKS,44250
2009,32,18,NO.HOOKS,1000
2009,33,14,NO.HOOKS,9550
2009,33,15,NO.HOOKS,16360
2009,33,16,NO.HOOKS,32510
2009,33,17,NO.HOOKS,16100
2009,34,14,NO.HOOKS,3400
2009,34,15,NO.HOOKS,37100
2009,34,16,NO.HOOKS,45580
2009,34,17,NO.HOOKS,36450
2009,34,18,NO.HOOKS,19382
2009,35,0,NO.HOOKS,374720
2009,35,5,NO.HOOKS,417660
2009,35,10,NO.HOOKS,1027019
2009,35,11,NO.HOOKS,1200
2009,35,13,NO.HOOKS,1000
2009,35,14,NO.HOOKS,3400
2009,35,15,NO.HOOKS,359531
2009,35,16,NO.HOOKS,4150
2009,35,17,NO.HOOKS,24260
2009,35,18,NO.HOOKS,199227
2009,35,19,NO.HOOKS,128226
2009,36,2,NO.HOOKS,2530
2009,36,17,NO.HOOKS,1350
2009,36,18,NO.HOOKS,16460
2009,36,19,NO.HOOKS,87411
2009,37,18,NO.HOOKS,4000
2009,37,19,NO.HOOKS,2244
2009,40,0,NO.HOOKS,364152
2009,40,5,NO.HOOKS,392090
2009,40,10,NO.HOOKS,330585
2009,40,15,NO.HOOKS,124272
2009,45,15,NO.HOOKS,3190
2010,0,0,NO.HOOKS,1472875
2010,0,3,NO.HOOKS,35000
2010,0,5,NO.HOOKS,1193265
2010,0,8,NO.HOOKS,7975
2010,0,10,NO.HOOKS,344094
2010,5,0,NO.HOOKS,2441346
2010,5,3,NO.HOOKS,14750
2010,5,5,NO.HOOKS,1767138
2010,5,10,NO.HOOKS,3659779
2010,10,0,NO.HOOKS,1425622
2010,10,5,NO.HOOKS,1073924
2010,10,10,NO.HOOKS,3029445
2010,15,0,NO.HOOKS,332842
2010,15,5,NO.HOOKS,3604622
2010,15,10,NO.HOOKS,1933960
2010,20,0,NO.HOOKS,1072580
2010,20,5,NO.HOOKS,1582635
2010,20,10,NO.HOOKS,996901
2010,25,0,NO.HOOKS,1217547
2010,25,5,NO.HOOKS,1689959
2010,25,10,NO.HOOKS,778064
2010,25,15,NO.HOOKS,13349
2010,25,18,NO.HOOKS,950
2010,28,11,NO.HOOKS,1300
2010,29,11,NO.HOOKS,2600
2010,29,12,NO.HOOKS,1350
2010,30,0,NO.HOOKS,799766
2010,30,5,NO.HOOKS,736583
2010,30,10,NO.HOOKS,995598
2010,30,12,NO.HOOKS,15000
2010,30,13,NO.HOOKS,17400
2010,30,14,NO.HOOKS,25470
2010,30,15,NO.HOOKS,11542
2010,31,10,NO.HOOKS,2600
2010,31,12,NO.HOOKS,1300
2010,31,13,NO.HOOKS,9780
2010,31,14,NO.HOOKS,15230
2010,31,15,NO.HOOKS,39686
2010,31,16,NO.HOOKS,1100
2010,32,13,NO.HOOKS,2200
2010,32,14,NO.HOOKS,26570
2010,32,15,NO.HOOKS,19704
2010,32,16,NO.HOOKS,10390
2010,33,13,NO.HOOKS,1500
2010,33,14,NO.HOOKS,12374
2010,33,15,NO.HOOKS,35624
2010,33,16,NO.HOOKS,29142
2010,33,17,NO.HOOKS,8500
2010,34,12,NO.HOOKS,1100
2010,34,13,NO.HOOKS,1100
2010,34,14,NO.HOOKS,3024
2010,34,15,NO.HOOKS,28316
2010,34,16,NO.HOOKS,12095
2010,34,17,NO.HOOKS,4210
2010,34,18,NO.HOOKS,19725
2010,34,19,NO.HOOKS,2860
2010,35,0,NO.HOOKS,300820
2010,35,5,NO.HOOKS,268640
2010,35,10,NO.HOOKS,831854
2010,35,15,NO.HOOKS,245001
2010,35,16,NO.HOOKS,6154
2010,35,17,NO.HOOKS,17310
2010,35,18,NO.HOOKS,79460
2010,35,19,NO.HOOKS,82660
2010,36,15,NO.HOOKS,4900
2010,36,16,NO.HOOKS,15674
2010,36,17,NO.HOOKS,9162
2010,36,18,NO.HOOKS,14150
2010,36,19,NO.HOOKS,71775
2010,37,15,NO.HOOKS,3400
2010,37,16,NO.HOOKS,12512
2010,37,17,NO.HOOKS,1404
2010,37,18,NO.HOOKS,1000
2010,37,19,NO.HOOKS,37801
2010,38,18,NO.HOOKS,2000
2010,40,0,NO.HOOKS,471600
2010,40,5,NO.HOOKS,109820
2010,40,10,NO.HOOKS,24817
2010,40,15,NO.HOOKS,32105
2011,0,0,NO.HOOKS,2914367
2011,0,5,NO.HOOKS,974772
2011,0,10,NO.HOOKS,301920
2011,4,3,NO.HOOKS,22100
2011,5,0,NO.HOOKS,2160236
2011,5,5,NO.HOOKS,1540557
2011,5,10,NO.HOOKS,1890866
2011,10,0,NO.HOOKS,3153256
2011,10,5,NO.HOOKS,2135836
2011,10,10,NO.HOOKS,2596762
2011,15,0,NO.HOOKS,1414472
2011,15,5,NO.HOOKS,2470276
2011,15,10,NO.HOOKS,1342479
2011,20,0,NO.HOOKS,2419925
2011,20,5,NO.HOOKS,2987383
2011,20,7,NO.HOOKS,80000
2011,20,10,NO.HOOKS,1134699
2011,25,0,NO.HOOKS,1202553
2011,25,5,NO.HOOKS,1249063
2011,25,10,NO.HOOKS,654038
2011,25,15,NO.HOOKS,3830
2011,27,1,NO.HOOKS,310650
