Year,Month,Day,LAT,LON,DURATION,HOOKS_SET
2016,1,30,21,12,5.183333333,18000
2013,11,29,21,12,6.866666667,18000
2015,4,17,20,12,6.483333333,18000
2012,1,23,25,13,7.333333333,18000
2013,4,12,24,13,5.75,18000
2010,5,21,24,13,6.433333333,18000
2003,6,22,23,13,7.85,11200
2003,6,6,23,13,11.88333333,10368
2005,11,1,21,12,5.5,32000
2005,10,7,20,11,7,32000
2000,10,16,19,11,8,19200
2000,10,17,19,11,8,19200
2000,10,24,19,11,8,19200
2005,9,28,19,11,8,32000
2000,12,15,22,12,8,19200
2015,6,14,22,12,6.866666667,18000
2013,9,4,21,12,2.4,18000
2016,9,11,21,12,6.6,18000
2010,3,13,21,12,21.75,18000
2010,3,16,21,12,18.25,18000
2010,1,29,21,12,6.016666667,18000
2010,1,28,21,12,6.05,18000
2003,2,26,21,12,10.36666667,10368
2014,3,8,21,12,6.333333333,18000
2016,2,3,21,12,5.983333333,18000
2016,12,16,21,12,6.716666667,18000
2012,9,6,20,12,2.383333333,18000
2013,5,19,20,12,7.133333333,18000
2000,11,1,20,12,8,19200
2014,7,8,20,12,6.5,18000
2015,8,15,20,12,5.916666667,18000
2010,4,23,24,13,6.566666667,18000
2013,11,15,24,13,6.933333333,18000
2014,9,10,24,13,6.933333333,18000
2016,8,10,24,13,6.183333333,18000
2004,8,25,23,13,8.916666667,18000
2004,8,26,23,13,7.333333333,14000
2004,8,27,23,13,8.5,14000
2011,12,5,22,13,5.35,18000
2003,2,9,19,11,13.03333333,10112
2013,3,25,22,12,6.8,18000
2013,11,23,22,12,6.5,18000
2012,9,16,21,12,6.516666667,18000
2012,9,18,21,12,6.883333333,18000
2010,3,14,21,12,19.6,18000
2003,3,5,21,12,6.966666667,21504
2005,10,31,21,12,7,32000
2015,4,2,21,12,6.7,18000
2015,9,18,21,12,6.033333333,18000
2016,12,15,21,12,6.733333333,18000
2013,11,30,21,12,6.933333333,18000
2015,8,14,20,12,4.916666667,18000
2012,1,24,24,13,5.25,18000
2012,11,29,23,13,6.483333333,18000
2002,1,24,23,13,8.3,19200
2003,7,3,23,13,11.6,10300
2005,10,6,20,11,9.166666667,32000
2014,11,6,24,13,5.5,18000
2010,7,30,19,11,6.483333333,18000
2000,9,13,19,11,8,19200
2000,9,12,19,11,8,19200
2000,11,7,19,11,8,19200
2000,11,6,19,11,8,19200
2013,1,26,22,12,7.133333333,18000
2002,3,13,22,12,7.483333333,19200
2001,3,25,22,12,8,19200
2014,3,6,22,12,6.616666667,18000
2012,11,21,21,12,6.916666667,18000
2013,5,18,21,12,6.783333333,18000
2010,1,21,21,12,3.266666667,18000
2012,6,21,21,12,6.833333333,18000
2001,4,16,21,12,8,19200
2003,2,25,21,12,13.25,10112
2003,2,24,21,12,7.416666667,10112
2014,3,7,21,12,7.15,18000
2016,1,17,21,12,6.916666667,18000
2016,9,12,20,12,4.816666667,18000
2012,8,20,25,13,5.983333333,18000
2014,11,5,24,13,6.166666667,18000
2014,9,9,24,13,5.75,18000
2002,1,23,23,13,9.133333333,19200
2002,1,22,23,13,9.05,19200
2001,1,8,23,13,8,19200
2002,3,23,22,12,8.783333333,19200
2003,2,20,22,12,12.83333333,10112
2002,4,30,23,13,13.28333333,8400
2003,9,16,27,14,8.7,10880
2002,12,17,27,14,12.35,10112
2013,2,2,22,12,7.25,18000
2000,11,27,22,12,8,19200
2015,2,1,22,12,6.933333333,18000
2014,11,28,22,12,6.383333333,18000
2016,9,5,21,12,7.983333333,18000
2015,1,7,21,12,6.75,18000
2015,1,24,21,12,6.883333333,18000
2015,1,10,21,12,6.866666667,18000
2012,6,20,21,12,1,18000
2012,6,4,21,12,6.716666667,18000
2015,1,17,21,12,6.683333333,18000
2012,1,20,25,13,3.15,18000
2011,6,11,24,13,5.9,18000
2011,7,31,24,13,6.05,18000
2010,2,20,24,13,3.933333333,18000
2010,5,20,24,13,3.15,18000
2014,2,26,24,13,5.083333333,18000
2013,12,11,24,13,5,18000
2001,9,2,23,13,6.5,19200
2012,5,21,23,13,6,18000
2014,12,13,23,13,6.683333333,18000
2014,12,4,23,13,4.833333333,18000
2002,3,22,22,12,8.116666667,19200
2003,2,24,21,12,12.8,10368
2003,6,5,23,13,7.4,11264
2000,11,8,19,11,8,19200
2013,1,25,22,12,7.1,18000
2013,1,10,21,12,4,18000
2011,7,21,21,12,6.066666667,18000
2010,1,20,21,12,7,18000
2005,11,3,21,12,4,32000
2012,11,18,21,12,6.75,18000
2015,4,3,21,12,6.866666667,18000
2015,9,17,21,12,3.2,18000
2016,2,1,21,12,5.933333333,18000
2016,1,31,21,12,6.266666667,18000
2015,9,3,21,12,6.4,18000
2016,1,18,21,12,6.9,18000
2007,2,10,20,12,5,18000
2006,11,22,20,12,7.3,32000
2015,7,16,20,12,5,18000
2015,5,11,20,12,14.9,18000
2015,9,2,20,12,3.916666667,18000
2016,1,19,20,12,7.25,18000
2012,6,5,20,12,6.7,18000
2015,8,17,20,12,5.933333333,18000
2013,12,15,26,13,2.866666667,18000
2014,7,25,25,13,6.833333333,18000
2012,8,22,24,13,7.166666667,18000
2014,9,2,24,13,6.283333333,18000
2014,8,14,24,13,6.716666667,18000
2010,4,27,23,13,6.5,18000
2014,5,16,23,13,3.983333333,18000
2010,7,22,22,13,6.016666667,18000
2014,8,24,22,13,6.966666667,18000
2005,10,9,19,11,6.5,32000
2003,3,6,22,12,8.233333333,11392
2002,3,11,21,12,9.1,19200
2014,3,17,23,13,6.833333333,18000
2002,12,15,27,14,5.966666667,16640
2005,10,19,19,11,4,26000
2003,2,9,19,11,6.566666667,10368
2016,5,4,22,12,4.75,18000
2015,3,15,22,12,6.25,18000
2016,6,26,21,12,6.833333333,18000
2000,11,16,21,12,2,19200
2015,4,1,21,12,1.516666667,18000
2014,3,9,21,12,6.966666667,18000
2015,1,31,21,12,6.916666667,18000
2015,1,18,21,12,6.716666667,18000
2005,10,18,20,12,7.5,26000
2015,5,8,20,12,6.5,18000
2015,8,7,20,12,5.966666667,18000
2014,4,17,25,13,6.983333333,18000
2014,4,12,25,13,6.5,18000
2013,12,17,25,13,6.716666667,18000
2013,12,8,25,13,5.15,9000
2014,3,24,24,13,6.9,18000
2016,8,20,24,13,6.15,18000
2016,8,9,24,13,3.95,18000
2014,7,25,24,13,6.866666667,18000
2011,6,17,23,13,5.75,18000
2011,6,16,23,13,6.5,18000
2011,6,15,23,13,5.966666667,18000
2015,3,2,23,13,6.916666667,18000
2014,12,12,23,13,4.6,18000
2002,3,12,21,12,8.883333333,19200
2001,11,11,21,12,8.566666667,19200
2003,4,26,21,12,12.21666667,10368
2003,6,12,23,13,7.6,11200
2002,5,30,23,13,7.75,11288
2010,3,11,19,11,19.73333333,18000
2010,11,7,22,12,5.633333333,18000
2016,3,7,22,12,6.4,18000
2015,1,30,22,12,6.15,18000
2016,6,25,21,12,6.833333333,18000
2016,7,3,21,12,5.466666667,18000
2010,1,19,21,12,7.133333333,18000
